epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,295.971,0.66107,0.70635,1.07786,0.92942,0.93014,0.97293,0.85042,0.51787,0.47005,0.98263,0.000371313,0.000371313,0.000371313
43,302.821,0.68008,0.71396,1.06488,0.92116,0.94418,0.97537,0.8498,0.52448,0.48309,0.98447,0.000365125,0.000365125,0.000365125
44,309.59,0.70736,0.76808,1.09016,0.88215,0.97918,0.97442,0.84688,0.5174,0.47731,0.97951,0.000358938,0.000358938,0.000358938
45,316.321,0.69685,0.75747,1.09118,0.93304,0.97524,0.98609,0.8533,0.51291,0.46825,0.97172,0.00035275,0.00035275,0.00035275
46,323.216,0.69679,0.74869,1.10336,0.96083,0.96349,0.98923,0.86238,0.50646,0.4337,0.96582,0.000346563,0.000346563,0.000346563
47,330.131,0.66103,0.66436,1.04787,0.96863,0.96208,0.98964,0.86615,0.49548,0.42617,0.96354,0.000340375,0.000340375,0.000340375
48,336.908,0.72248,0.75465,1.12,0.9739,0.93612,0.98517,0.86547,0.50291,0.43787,0.96525,0.000334188,0.000334188,0.000334188
49,343.881,0.67048,0.71907,1.09614,0.95747,0.94013,0.985,0.86491,0.48469,0.4223,0.95902,0.000328,0.000328,0.000328
50,350.676,0.68099,0.73777,1.07719,0.9753,0.94844,0.98909,0.87018,0.47338,0.41419,0.9496,0.000321812,0.000321812,0.000321812
51,357.726,0.70552,0.74341,1.10744,0.97176,0.95165,0.98774,0.87713,0.47255,0.40597,0.94541,0.000315625,0.000315625,0.000315625
52,364.866,0.65705,0.6668,1.07613,0.98,0.96914,0.99266,0.87967,0.4569,0.37728,0.93708,0.000309437,0.000309437,0.000309437
53,371.957,0.63166,0.63718,1.04663,0.97723,0.98271,0.99354,0.88308,0.46854,0.37934,0.94389,0.00030325,0.00030325,0.00030325
54,379.213,0.69935,0.71777,1.10407,0.97325,0.98071,0.99252,0.88744,0.46747,0.37338,0.9445,0.000297063,0.000297063,0.000297063
55,386.281,0.6798,0.66345,1.09335,0.96193,0.98461,0.99055,0.89284,0.44135,0.36152,0.93238,0.000290875,0.000290875,0.000290875
56,393.452,0.64623,0.63502,1.05591,0.94472,0.97807,0.9865,0.89126,0.44096,0.36275,0.92463,0.000284688,0.000284688,0.000284688
57,400.541,0.64099,0.63099,1.07388,0.94676,0.97087,0.98537,0.89821,0.43109,0.3638,0.92049,0.0002785,0.0002785,0.0002785
58,407.71,0.63046,0.61552,1.05761,0.95159,0.97573,0.98189,0.88685,0.42355,0.36054,0.9182,0.000272313,0.000272313,0.000272313
59,414.887,0.62992,0.62074,1.0496,0.95641,0.97763,0.98529,0.89116,0.42367,0.34593,0.91803,0.000266125,0.000266125,0.000266125
60,421.82,0.66432,0.67749,1.07857,0.9532,0.97236,0.98859,0.8969,0.41771,0.34434,0.91471,0.000259938,0.000259938,0.000259938
61,428.644,0.57935,0.59472,1.01659,0.93876,0.98025,0.98678,0.89521,0.41208,0.33756,0.9113,0.00025375,0.00025375,0.00025375
62,435.593,0.61163,0.58828,1.047,0.94807,0.97855,0.98798,0.89707,0.41202,0.33751,0.90971,0.000247563,0.000247563,0.000247563
63,442.398,0.66494,0.64325,1.09106,0.97219,0.96521,0.99026,0.89511,0.4041,0.33238,0.90602,0.000241375,0.000241375,0.000241375
64,449.163,0.64118,0.60979,1.05791,0.98913,0.98314,0.99373,0.89117,0.40097,0.327,0.90544,0.000235188,0.000235188,0.000235188
65,456.013,0.60178,0.55714,1.03594,0.98068,0.98747,0.99455,0.8983,0.4002,0.32541,0.90577,0.000229,0.000229,0.000229
66,462.974,0.58403,0.56008,1.00835,0.96288,0.98887,0.99301,0.89769,0.40551,0.33351,0.90877,0.000222813,0.000222813,0.000222813
67,469.802,0.573,0.57538,1.01453,0.96088,0.98617,0.9929,0.90118,0.40338,0.33053,0.90745,0.000216625,0.000216625,0.000216625
68,476.735,0.60335,0.58295,1.04246,0.95976,0.97153,0.99229,0.89949,0.39639,0.32088,0.90225,0.000210437,0.000210437,0.000210437
69,483.591,0.59665,0.55345,1.0328,0.97837,0.97079,0.99121,0.90373,0.39218,0.31358,0.89864,0.00020425,0.00020425,0.00020425
70,490.564,0.62246,0.59822,1.03609,0.96091,0.97757,0.99023,0.90111,0.3944,0.31593,0.8987,0.000198063,0.000198063,0.000198063
71,497.344,0.59819,0.54282,1.02744,0.9748,0.9847,0.99204,0.90081,0.38533,0.30872,0.89469,0.000191875,0.000191875,0.000191875
72,504.059,0.59869,0.56395,1.04051,0.98118,0.98354,0.99297,0.91423,0.37519,0.30361,0.88805,0.000185688,0.000185688,0.000185688
73,511.059,0.5857,0.5562,1.02942,0.97275,0.98108,0.99362,0.91198,0.3705,0.29917,0.88295,0.0001795,0.0001795,0.0001795
74,518.044,0.58439,0.54823,1.01867,0.96994,0.98429,0.99447,0.9153,0.36702,0.29834,0.88059,0.000173313,0.000173313,0.000173313
75,524.995,0.56673,0.54951,1.03425,0.96691,0.98506,0.99434,0.91242,0.37475,0.30198,0.88233,0.000167125,0.000167125,0.000167125
76,532.259,0.56707,0.51629,1.01145,0.96479,0.98502,0.99433,0.9102,0.3733,0.30088,0.88351,0.000160938,0.000160938,0.000160938
77,539.551,0.60753,0.55577,1.03763,0.96832,0.98138,0.99451,0.91383,0.36518,0.29425,0.87953,0.00015475,0.00015475,0.00015475
78,546.529,0.60174,0.55707,1.0418,0.97125,0.99122,0.99484,0.91455,0.36722,0.29322,0.87979,0.000148563,0.000148563,0.000148563
79,553.426,0.56321,0.4929,1.02196,0.97693,0.98976,0.99484,0.91173,0.36499,0.29179,0.87892,0.000142375,0.000142375,0.000142375
80,560.252,0.58506,0.53953,1.02475,0.97401,0.9903,0.99192,0.9159,0.35936,0.28753,0.8762,0.000136187,0.000136187,0.000136187
81,567.156,0.56087,0.50622,1.01319,0.98489,0.99313,0.99491,0.92034,0.36045,0.27884,0.87391,0.00013,0.00013,0.00013
82,574.194,0.54076,0.49505,0.98451,0.98354,0.99603,0.995,0.9277,0.34971,0.27085,0.86889,0.000123812,0.000123812,0.000123812
83,581.269,0.58677,0.49468,1.03962,0.98672,0.99622,0.995,0.92876,0.3468,0.27156,0.86769,0.000117625,0.000117625,0.000117625
84,588.523,0.54712,0.47241,1.00203,0.98024,0.99438,0.99491,0.92991,0.3436,0.27148,0.86518,0.000111438,0.000111438,0.000111438
85,595.924,0.57416,0.49195,1.01326,0.97979,0.99389,0.9948,0.9302,0.33917,0.26875,0.86349,0.00010525,0.00010525,0.00010525
86,603.488,0.53071,0.47904,0.99725,0.97889,0.99428,0.99484,0.9279,0.34197,0.2669,0.86461,9.90625e-05,9.90625e-05,9.90625e-05
87,610.66,0.53944,0.47596,0.99426,0.97988,0.99425,0.9948,0.92963,0.33864,0.26329,0.86393,9.2875e-05,9.2875e-05,9.2875e-05
